Model: VGG16, Epoch: 1, Train Acc: 71.79%, Test Acc: 73.08%, Train Loss: 0.6057, Test Loss: 0.5917, AUC: 0.4683
Model: VGG16, Epoch: 2, Train Acc: 73.08%, Test Acc: 73.08%, Train Loss: 0.6337, Test Loss: 0.5717, AUC: 0.6815
Model: VGG16, Epoch: 3, Train Acc: 73.08%, Test Acc: 73.08%, Train Loss: 0.5863, Test Loss: 0.6383, AUC: 0.6871
Model: VGG16, Epoch: 4, Train Acc: 73.08%, Test Acc: 73.08%, Train Loss: 0.5806, Test Loss: 0.5331, AUC: 0.8028
Model: VGG16, Epoch: 5, Train Acc: 74.73%, Test Acc: 75.00%, Train Loss: 0.5303, Test Loss: 0.5362, AUC: 0.8761
Model: VGG16, Epoch: 6, Train Acc: 78.39%, Test Acc: 82.69%, Train Loss: 0.4862, Test Loss: 0.4170, AUC: 0.8732
Model: VGG16, Epoch: 7, Train Acc: 82.05%, Test Acc: 82.05%, Train Loss: 0.4251, Test Loss: 0.4408, AUC: 0.8690
Model: VGG16, Epoch: 8, Train Acc: 82.60%, Test Acc: 82.69%, Train Loss: 0.4191, Test Loss: 0.4533, AUC: 0.8885
Model: VGG16, Epoch: 9, Train Acc: 84.98%, Test Acc: 83.97%, Train Loss: 0.3781, Test Loss: 0.4328, AUC: 0.9000
Model: VGG16, Epoch: 10, Train Acc: 84.98%, Test Acc: 84.62%, Train Loss: 0.3653, Test Loss: 0.4093, AUC: 0.8906
Model: ResNet50, Epoch: 1, Train Acc: 71.98%, Test Acc: 82.69%, Train Loss: 0.5660, Test Loss: 0.4215, AUC: 0.8557
Model: ResNet50, Epoch: 2, Train Acc: 83.52%, Test Acc: 85.26%, Train Loss: 0.3889, Test Loss: 0.3619, AUC: 0.8989
Model: ResNet50, Epoch: 3, Train Acc: 83.70%, Test Acc: 87.82%, Train Loss: 0.4050, Test Loss: 0.3096, AUC: 0.9173
Model: ResNet50, Epoch: 4, Train Acc: 86.45%, Test Acc: 89.10%, Train Loss: 0.3076, Test Loss: 0.2678, AUC: 0.9419
Model: ResNet50, Epoch: 5, Train Acc: 89.19%, Test Acc: 83.97%, Train Loss: 0.2654, Test Loss: 0.6243, AUC: 0.8041
Model: ResNet50, Epoch: 6, Train Acc: 88.46%, Test Acc: 88.46%, Train Loss: 0.2928, Test Loss: 0.3756, AUC: 0.9058
Model: ResNet50, Epoch: 7, Train Acc: 89.74%, Test Acc: 88.46%, Train Loss: 0.2448, Test Loss: 0.3284, AUC: 0.9208
Model: ResNet50, Epoch: 8, Train Acc: 92.31%, Test Acc: 89.10%, Train Loss: 0.2012, Test Loss: 0.3010, AUC: 0.9380
Model: ResNet50, Epoch: 9, Train Acc: 92.67%, Test Acc: 89.10%, Train Loss: 0.1840, Test Loss: 0.3069, AUC: 0.9376
Model: ResNet50, Epoch: 10, Train Acc: 92.12%, Test Acc: 90.38%, Train Loss: 0.2546, Test Loss: 0.2905, AUC: 0.9436
Model: ResNet18, Epoch: 1, Train Acc: 69.05%, Test Acc: 87.82%, Train Loss: 0.6037, Test Loss: 0.3540, AUC: 0.8695
Model: ResNet18, Epoch: 2, Train Acc: 81.87%, Test Acc: 79.49%, Train Loss: 0.4427, Test Loss: 0.5458, AUC: 0.8816
Model: ResNet18, Epoch: 3, Train Acc: 83.52%, Test Acc: 85.26%, Train Loss: 0.3613, Test Loss: 0.4178, AUC: 0.8895
Model: ResNet18, Epoch: 4, Train Acc: 86.81%, Test Acc: 89.74%, Train Loss: 0.3911, Test Loss: 0.3289, AUC: 0.9240
Model: ResNet18, Epoch: 5, Train Acc: 85.90%, Test Acc: 88.46%, Train Loss: 0.3062, Test Loss: 0.3105, AUC: 0.9378
Model: ResNet18, Epoch: 6, Train Acc: 87.36%, Test Acc: 92.31%, Train Loss: 0.3024, Test Loss: 0.2896, AUC: 0.9332
Model: ResNet18, Epoch: 7, Train Acc: 89.93%, Test Acc: 91.03%, Train Loss: 0.2465, Test Loss: 0.2998, AUC: 0.9238
Model: ResNet18, Epoch: 8, Train Acc: 89.93%, Test Acc: 91.67%, Train Loss: 0.2634, Test Loss: 0.2948, AUC: 0.9286
Model: ResNet18, Epoch: 9, Train Acc: 90.11%, Test Acc: 89.74%, Train Loss: 0.2456, Test Loss: 0.2964, AUC: 0.9313
Model: ResNet18, Epoch: 10, Train Acc: 91.03%, Test Acc: 89.74%, Train Loss: 0.2164, Test Loss: 0.2985, AUC: 0.9338
Model: DenseNet, Epoch: 1, Train Acc: 62.45%, Test Acc: 75.00%, Train Loss: 0.6393, Test Loss: 0.5035, AUC: 0.7602
Model: DenseNet, Epoch: 2, Train Acc: 77.29%, Test Acc: 80.77%, Train Loss: 0.4725, Test Loss: 0.4223, AUC: 0.8517
Model: DenseNet, Epoch: 3, Train Acc: 81.50%, Test Acc: 86.54%, Train Loss: 0.4054, Test Loss: 0.3623, AUC: 0.8803
Model: DenseNet, Epoch: 4, Train Acc: 86.26%, Test Acc: 86.54%, Train Loss: 0.3687, Test Loss: 0.3712, AUC: 0.8906
