Model: VGG16, Epoch: 1, Train Acc: 61.72%, Test Acc: 69.23%, Train Loss: 0.6666, Test Loss: 0.6439, AUC: 0.4994
Model: VGG16, Epoch: 2, Train Acc: 58.79%, Test Acc: 69.23%, Train Loss: 0.6550, Test Loss: 0.6439, AUC: 0.4994
Model: VGG16, Epoch: 3, Train Acc: 62.45%, Test Acc: 69.23%, Train Loss: 0.6539, Test Loss: 0.6439, AUC: 0.4994
Model: VGG16, Epoch: 4, Train Acc: 59.71%, Test Acc: 69.23%, Train Loss: 0.6587, Test Loss: 0.6439, AUC: 0.4994
Model: VGG16, Epoch: 5, Train Acc: 59.89%, Test Acc: 69.23%, Train Loss: 0.6785, Test Loss: 0.6439, AUC: 0.4994
Model: VGG16, Epoch: 6, Train Acc: 58.97%, Test Acc: 69.23%, Train Loss: 0.6545, Test Loss: 0.6439, AUC: 0.4994
Model: VGG16, Epoch: 7, Train Acc: 63.55%, Test Acc: 69.23%, Train Loss: 0.6468, Test Loss: 0.6439, AUC: 0.4994
Model: VGG16, Epoch: 8, Train Acc: 61.17%, Test Acc: 69.23%, Train Loss: 0.6569, Test Loss: 0.6439, AUC: 0.4994
Model: VGG16, Epoch: 9, Train Acc: 61.54%, Test Acc: 69.23%, Train Loss: 0.6556, Test Loss: 0.6439, AUC: 0.4994
Model: VGG16, Epoch: 10, Train Acc: 58.42%, Test Acc: 69.23%, Train Loss: 0.6658, Test Loss: 0.6439, AUC: 0.4994
Model: VGG16, Epoch: 11, Train Acc: 60.26%, Test Acc: 69.23%, Train Loss: 0.6674, Test Loss: 0.6439, AUC: 0.4994
Model: VGG16, Epoch: 12, Train Acc: 61.90%, Test Acc: 69.23%, Train Loss: 0.6481, Test Loss: 0.6439, AUC: 0.4994
Model: VGG16, Epoch: 13, Train Acc: 58.42%, Test Acc: 69.23%, Train Loss: 0.6634, Test Loss: 0.6439, AUC: 0.4994
Model: VGG16, Epoch: 14, Train Acc: 59.16%, Test Acc: 69.23%, Train Loss: 0.6586, Test Loss: 0.6439, AUC: 0.4994
Model: VGG16, Epoch: 15, Train Acc: 63.74%, Test Acc: 69.23%, Train Loss: 0.6492, Test Loss: 0.6439, AUC: 0.4994
Model: VGG16, Epoch: 16, Train Acc: 62.27%, Test Acc: 69.23%, Train Loss: 0.6539, Test Loss: 0.6439, AUC: 0.4994
Model: VGG16, Epoch: 17, Train Acc: 59.52%, Test Acc: 69.23%, Train Loss: 0.6665, Test Loss: 0.6439, AUC: 0.4994
Model: VGG16, Epoch: 18, Train Acc: 63.00%, Test Acc: 69.23%, Train Loss: 0.6599, Test Loss: 0.6439, AUC: 0.4994
Model: VGG16, Epoch: 19, Train Acc: 60.44%, Test Acc: 69.23%, Train Loss: 0.6751, Test Loss: 0.6439, AUC: 0.4994
Model: VGG16, Epoch: 20, Train Acc: 59.71%, Test Acc: 69.23%, Train Loss: 0.6636, Test Loss: 0.6439, AUC: 0.4994
Model: ResNet50, Epoch: 1, Train Acc: 49.45%, Test Acc: 35.90%, Train Loss: 0.6997, Test Loss: 0.7473, AUC: 0.6569
Model: ResNet50, Epoch: 2, Train Acc: 47.25%, Test Acc: 51.28%, Train Loss: 0.6998, Test Loss: 0.6969, AUC: 0.7345
Model: ResNet50, Epoch: 3, Train Acc: 50.55%, Test Acc: 51.92%, Train Loss: 0.7019, Test Loss: 0.6928, AUC: 0.6857
Model: ResNet50, Epoch: 4, Train Acc: 50.00%, Test Acc: 53.21%, Train Loss: 0.6997, Test Loss: 0.6967, AUC: 0.6629
